Flyby,I/O,Date ET,ALT (km),v∞ (km/s),v (km/s),LST (deg),LAT (deg),LON,SEP (deg),PHS (deg),TRA (deg),INC (deg),PER (days),n,m,dTID (krad),TID (mrad),dΔV (m/s),ΔV (m/s),dTOF (days),TOF (days),SJB (deg),κ⁻ (deg),κ⁺ (deg),α⁻ (deg),α⁺ (deg),RP (R_J),RA (R_J),ECLIP (h),ETRA (deg),SIIILON (deg)
G00,I,23-Dec.-2024 12:46:07,500,7.68,8.1,16:46,0,237,162,72,-44,4.18,202.73,28.25,1.25,0.81,0,984,0,202.1,0,11.7,-9.4,-8.8,57.3,63.1,12.4,265.9,0.0,-103,18
00G01,O,13-July-2025 16:10:20,50,6.27,6.8,08:02:01,51,302,14,121,48,1.28,76.38,32.01,3.01,18.02,0.02,15,15,229.0,202.1,85.9,168.3,177.2,60.8,66.5,12.3,132.8,0.0,18,178
01G02,O,27-Feb.-2026 16:53:57,872,6.56,7.0,23:55,12,285,126,166,60,0.42,35.8,5.00,1.00,40.77,0.06,3,18,35.8,431.2,71.0,177.8,179.4,69.0,75.9,11.3,76.4,0.0,6,243
04G03,O,04-April-2026 11:14:38,920,6.54,7.0,23:14,6,279,91,166,70,0.03,21.48,3.00,1.00,20.29,0.08,0,18,21.5,466.9,67.7,179.5,-179.8,75.6,82.5,10.4,51.9,4.8,58,69
05G04,O,25-April-2026 22:19:34,451,6.56,7.0,22:37,7,271,72,158,83,0.64,13.9,1.81,0.78,30.46,0.11,0,18,13.0,488.4,65.8,-179.8,82.4,90.3,9.3,37.4,8.1,89,105
07E01,O,08-May-2026 22:00:08,1442,3.79,4.1,10:27,65,169,62,66,10,1.75,14.28,4.01,1.01,28.35,0.14,8,26,14.2,501.4,345.4,-175.9,-153.6,21.4,19.9,9.3,38.2,7.4,-25,240
08E02,O,23-May-2026 03:19:03,100,3.86,4.3,11:09,52,179,50,53,10,4.01,14.25,4.00,1.00,45.38,0.18,2,29,14.2,515.6,346.1,-157.2,-123.5,23.1,23.5,9.3,38.1,4.5,-13,102
09E03,O,06-June-2026 08:14:18,100,3.86,4.3,11:02,20,179,39,24,4.96,14.24,4.00,1.00,44.08,0.23,1,29,14.2,529.8,345.2,-124.9,-92.2,23.9,24.1,9.3,38.1,0.0,-2,336
10E04,I,20-June-2026 13:10:33,50,3.86,4.4,10:56,-14,178,29,21,-3,4.27,14.24,4.00,1.00,44.05,0.27,1,30,14.2,544.0,344.3,-93.6,-60.2,24.1,24.0,9.3,38.1,0.0,8,210
11E05,I,04-July-2026 18:06:12,35,3.86,4.4,10:49,-47,178,18,50,-9,2.07,14.23,4.00,1.00,43.82,0.32,0,30,14.2,558.2,343.4,-61.3,-26.8,23.7,23.3,9.3,38.1,7.0,19,84
12E06,I,18-July-2026 22:46:06,25,3.88,4.4,12:10,-47,200,8,47,-15,0.32,12.49,7.11,2.11,44.71,0.36,0,30,25.2,572.4,341.4,-25.3,-0.6,24.5,31.7,9.2,34.3,8.7,28,326
14E07,O,13-Aug.-2026 04:27:59,1231,3.96,4.2,11:14,-32,150,11,34,19,0.95,14.21,4.00,1.00,107.89,0.47,1,31,14.2,597.7,18.4,-180.0,171.0,33.9,27.6,9.3,38.1,9.2,84,355
15E08,O,27-Aug.-2026 09:06:54,25,3.95,4.4,13:12,-67,182,21,68,15,3.68,14.21,4.00,1.00,45.09,0.51,3,35,14.2,611.9,16.1,170.3,139.9,25.6,26.1,9.3,38.0,6.3,93,238
16E09,O,10-Sept.-2026 14:03:37,50,3.97,4.4,13:01,-37,180,32,40,10,5.46,14.21,4.00,1.00,43.58,0.56,4,39,14.2,626.1,15.1,140.6,111.7,26.5,26.8,9.4,37.9,3.4,103,111
17E10,O,24-Sept.-2026 19:01:07,50,3.98,4.5,12:54,-9,179,43,16,4,5.9,14.22,4.00,1.00,42.83,0.6,4,43,14.2,640.3,14.1,112.9,84.5,27.0,27.0,9.5,37.9,5.1,114,344
18E11,I,08-Oct.-2026 23:59:09,100,3.98,4.4,12:47,19,178,55,23,-4,4.96,14.24,4.00,1.00,41.83,0.64,5,47,14.2,654.5,13.1,85.9,58.0,26.9,26.6,9.4,37.9,7.5,125,216
19E12,I,23-Oct.-2026 04:55:41,25,3.97,4.5,12:40,47,177,67,48,-10,2.79,14.22,4.00,1.00,42.38,0.68,2,49,14.2,668.7,12.0,59.5,29.4,26.2,25.7,9.4,38.0,8.4,135,90
20E13,I,06-Nov.-2026 09:57:57,219,3.94,4.4,12:16,77,172,79,77,-13,0.62,14.26,4.07,1.07,43.73,0.73,9,58,14.5,682.9,11.2,31.0,1.7,24.5,23.8,9.4,38.1,8.2,147,320
21E14,O,20-Nov.-2026 20:43:35,892,3.85,4.2,15:05,82,191,92,85,11,2.3,14.22,4.00,1.00,51.45,0.78,6,64,14.2,697.3,34.2,178.4,-153.5,19.1,19.9,9.4,37.9,1.7,-176,6
22E15,O,05-Dec.-2026 01:57:58,100,3.9,4.4,14:22,51,180,106,60,9,4.56,14.21,4.00,1.00,48.18,0.82,0,64,14.2,711.6,34.2,-156.4,-122.4,22.4,22.9,9.5,37.9,0.0,-164,230
23E16,O,19-Dec.-2026 07:00:05,100,3.91,4.4,14:16,20,179,120,39,4,5.53,14.22,4.00,1.00,42.24,0.87,0,64,14.2,725.8,33.4,-125.0,-92.6,23.6,23.8,9.5,37.8,2.0,-152,100
24E17,I,02-Jan.-2027 12:01:25,100,3.91,4.4,14:11,-11,178,136,34,-3,4.99,14.2,4.00,1.00,41.56,0.91,10,75,14.2,740.0,32.6,-95.3,-63.2,23.9,23.9,9.5,37.8,0.0,-141,331
25E18,I,16-Jan.-2027 16:37:40,35,3.94,4.4,13:57,-47,177,151,53,-11,2.96,14.22,4.00,1.00,42.45,0.95,4,78,14.2,754.2,30.1,-59.8,-28.6,25.4,25.0,9.4,38.0,3.2,-131,215
26E19,I,30-Jan.-2027 21:36:39,50,3.93,4.4,13:33,-79,172,167,79,-14,0.2,14.27,4.08,1.08,43.78,0.99,6,85,14.5,768.4,29.1,-29.6,3.1,24.2,23.6,9.3,38.1,6.6,-120,87
27E20,O,14-Feb.-2027 09:47:43,50,4.03,4.5,14:25,5,155,176,37,12,0.42,17.75,4.94,0.94,54.23,1.05,19,104,17.6,782.9,58.6,177.3,179.4,29.0,16.5,9.4,45.5,6.2,-80,88
28E21,I,03-March-2027 23:11:06,100,4.08,4.5,16:09,0,203,156,62,-16,0.46,14.28,4.10,1.10,36.38,1.08,1,104,14.6,800.4,37.1,-0.2,0.0,18.8,30.6,9.2,38.3,5.4,-85,263
29E22,O,18-March-2027 12:19:17,25,4.02,4.5,15:15,0,156,140,49,12,0.45,17.73,4.95,0.95,56.68,1.14,4,108,17.6,815.0,71.1,-180.0,179.9,29.0,16.2,9.3,45.5,5.1,-41,234
30E23,I,05-April-2027 02:00:36,82,4.03,4.5,16:58,0,201,122,75,-14,0.46,14.32,4.10,1.10,37.06,1.18,0,108,14.5,832.6,50.8,0.1,0.1,17.2,29.4,9.2,38.4,4.5,-47,39
31E24,O,19-April-2027 14:54:09,25,4.01,4.5,16:06,0,156,108,62,13,0.47,17.77,4.95,0.95,56.52,1.23,1,110,17.6,847.1,84.1,-180.0,-179.8,29.1,16.3,9.3,45.6,4.3,-3,19
32E25,I,07-May-2027 04:36:27,44,4.02,4.5,17:49,7,202,91,87,-13,0.84,14.26,4.07,1.07,37.29,1.27,13,122,14.5,864.7,63.9,-0.4,-3.4,17.0,29.5,9.2,38.3,3.7,-8,184